user_id,song_id,play_count,liked,source
u1,s1,15,true,organic
u1,s3,20,true,friend_recommendation
u1,s10,18,true,friend_recommendation
u1,s33,14,true,friend_recommendation
u1,s25,10,true,organic
u1,s22,8,true,friend_recommendation
u2,s5,25,true,friend_recommendation
u2,s12,30,true,organic
u2,s21,22,true,friend_recommendation
u2,s9,12,true,friend_recommendation
u2,s17,15,true,friend_recommendation
u3,s3,28,true,friend_recommendation
u3,s10,26,true,organic
u3,s32,20,true,friend_recommendation
u3,s19,18,true,friend_recommendation
u3,s38,10,false,organic
u4,s20,22,true,friend_recommendation
u4,s35,18,true,friend_recommendation
u4,s33,16,true,friend_recommendation
u4,s11,14,true,friend_recommendation
u4,s6,12,true,organic
u5,s29,24,true,friend_recommendation
u5,s30,18,false,friend_recommendation
u5,s12,20,true,organic
u5,s7,14,true,organic
u5,s21,16,true,friend_recommendation
u6,s8,22,true,friend_recommendation
u6,s18,20,true,friend_recommendation
u6,s25,15,true,friend_recommendation
u6,s26,18,true,friend_recommendation
u6,s4,12,true,friend_recommendation
u7,s24,10,false,friend_recommendation
u7,s17,14,true,friend_recommendation
u7,s9,12,true,friend_recommendation
u7,s31,16,true,friend_recommendation
u7,s34,11,true,organic
u8,s32,25,true,friend_recommendation
u8,s23,20,true,friend_recommendation
u8,s19,18,true,friend_recommendation
u8,s38,12,false,friend_recommendation
u8,s16,15,true,organic
